,id,Fecha,Hora,category,count
0,1,2025-11-12,11:09:18.470,Liviano,2
1,2,2025-11-12,11:09:18.470,Bus,0
2,3,2025-11-12,11:09:18.470,Camion,0
3,4,2025-11-12,11:09:39.654,Liviano,2
4,5,2025-11-12,11:09:39.654,Bus,0
5,6,2025-11-12,11:09:39.654,Camion,0
6,7,2025-11-12,11:10:00.584,Liviano,0
7,8,2025-11-12,11:10:00.584,Bus,1
8,9,2025-11-12,11:10:00.584,Camion,0
9,10,2025-11-12,11:10:05.815,Liviano,1
10,11,2025-11-12,11:10:05.815,Bus,0
11,12,2025-11-12,11:10:05.815,Camion,0
12,13,2025-11-12,11:10:16.584,Liviano,0
13,14,2025-11-12,11:10:16.584,Bus,0
14,15,2025-11-12,11:10:16.584,Camion,1
15,16,2025-11-12,11:10:27.237,Liviano,1
16,17,2025-11-12,11:10:27.237,Bus,0
17,18,2025-11-12,11:10:27.237,Camion,0
18,19,2025-11-12,11:10:54.092,Liviano,1
19,20,2025-11-12,11:10:54.092,Bus,0
20,21,2025-11-12,11:10:54.092,Camion,0
21,22,2025-11-12,11:11:05.101,Liviano,0
22,23,2025-11-12,11:11:05.101,Bus,0
23,24,2025-11-12,11:11:05.101,Camion,1
24,25,2025-11-12,11:12:04.908,Liviano,2
25,26,2025-11-12,11:12:04.908,Bus,0
26,27,2025-11-12,11:12:04.908,Camion,0
27,28,2025-11-12,11:12:10.093,Liviano,0
28,29,2025-11-12,11:12:10.093,Bus,1
29,30,2025-11-12,11:12:10.093,Camion,0
30,31,2025-11-12,11:12:20.423,Liviano,1
31,32,2025-11-12,11:12:20.423,Bus,0
32,33,2025-11-12,11:12:20.423,Camion,0
33,34,2025-11-12,11:12:25.628,Liviano,1
34,35,2025-11-12,11:12:25.628,Bus,0
35,36,2025-11-12,11:12:25.628,Camion,0
36,37,2025-11-12,11:20:35.822,Liviano,2
37,38,2025-11-12,11:20:35.822,Bus,0
38,39,2025-11-12,11:20:35.822,Camion,0
39,40,2025-11-12,11:20:46.021,Liviano,0
40,41,2025-11-12,11:20:46.021,Bus,1
41,42,2025-11-12,11:20:46.021,Camion,0
42,43,2025-11-12,11:20:57.034,Liviano,1
43,44,2025-11-12,11:20:57.034,Bus,0
44,45,2025-11-12,11:20:57.034,Camion,0
45,46,2025-11-26,11:09:21.174,Liviano,2
46,47,2025-11-26,11:09:21.174,Bus,0
47,48,2025-11-26,11:09:21.174,Camion,0
48,49,2025-11-26,11:09:26.437,Liviano,0
49,50,2025-11-26,11:09:26.437,Bus,1
50,51,2025-11-26,11:09:26.437,Camion,0
51,52,2025-11-26,11:09:31.709,Liviano,1
52,53,2025-11-26,11:09:31.709,Bus,0
53,54,2025-11-26,11:09:31.709,Camion,0
54,55,2025-11-26,11:09:36.789,Liviano,1
55,56,2025-11-26,11:09:36.789,Bus,0
56,57,2025-11-26,11:09:36.789,Camion,0
57,58,2025-11-26,11:13:18.292,Liviano,1
58,59,2025-11-26,11:13:18.292,Bus,0
59,60,2025-11-26,11:13:18.292,Camion,0
60,61,2025-11-26,11:13:23.480,Liviano,1
61,62,2025-11-26,11:13:23.480,Bus,1
62,63,2025-11-26,11:13:23.480,Camion,0
63,64,2025-11-26,11:13:33.606,Liviano,2
64,65,2025-11-26,11:13:33.606,Bus,0
65,66,2025-11-26,11:13:33.606,Camion,0
66,67,2025-11-26,11:13:38.829,Liviano,0
67,68,2025-11-26,11:13:38.829,Bus,0
68,69,2025-11-26,11:13:38.829,Camion,1
69,70,2025-11-26,11:13:44.041,Liviano,1
70,71,2025-11-26,11:13:44.041,Bus,0
71,72,2025-11-26,11:13:44.041,Camion,0
72,73,2025-11-27,11:53:29.564,Liviano,2
73,74,2025-11-27,11:53:29.564,Bus,0
74,75,2025-11-27,11:53:29.564,Camion,0
75,76,2025-11-27,11:53:40.179,Liviano,0
76,77,2025-11-27,11:53:40.179,Bus,1
77,78,2025-11-27,11:53:40.179,Camion,0
78,79,2025-11-27,11:53:45.253,Liviano,1
79,80,2025-11-27,11:53:45.253,Bus,0
80,81,2025-11-27,11:53:45.253,Camion,0
81,82,2025-12-10,07:45:05.408,Liviano,2
82,83,2025-12-10,07:45:05.408,Bus,0
83,84,2025-12-10,07:45:05.408,Camion,0
84,85,2025-12-10,07:45:21.251,Liviano,0
85,86,2025-12-10,07:45:21.251,Bus,1
86,87,2025-12-10,07:45:21.251,Camion,0
87,88,2025-12-10,07:45:32.449,Liviano,1
88,89,2025-12-10,07:45:32.449,Bus,0
89,90,2025-12-10,07:45:32.449,Camion,0
90,91,2025-12-10,07:45:42.742,Liviano,1
91,92,2025-12-10,07:45:42.742,Bus,0
92,93,2025-12-10,07:45:42.742,Camion,0
93,94,2025-12-10,07:45:53.408,Liviano,0
94,95,2025-12-10,07:45:53.408,Bus,0
95,96,2025-12-10,07:45:53.408,Camion,1
96,97,2025-12-10,07:45:58.778,Liviano,1
97,98,2025-12-10,07:45:58.778,Bus,0
98,99,2025-12-10,07:45:58.778,Camion,0
99,100,2025-12-10,07:46:19.589,Liviano,1
100,101,2025-12-10,07:46:19.589,Bus,0
101,102,2025-12-10,07:46:19.589,Camion,0
102,103,2025-12-10,07:46:24.642,Liviano,0
103,104,2025-12-10,07:46:24.642,Bus,0
104,105,2025-12-10,07:46:24.642,Camion,1
105,106,2025-12-10,07:49:15.573,Liviano,1
106,107,2025-12-10,07:49:15.573,Bus,0
107,108,2025-12-10,07:49:15.573,Camion,2
108,109,2025-12-10,07:49:20.961,Liviano,1
109,110,2025-12-10,07:49:20.961,Bus,0
110,111,2025-12-10,07:49:20.961,Camion,1
111,112,2025-12-10,07:51:35.477,Liviano,1
112,113,2025-12-10,07:51:35.477,Bus,0
113,114,2025-12-10,07:51:35.477,Camion,0
114,115,2025-12-10,07:52:16.760,Liviano,1
115,116,2025-12-10,07:52:16.760,Bus,0
116,117,2025-12-10,07:52:16.760,Camion,0
117,118,2025-12-10,07:59:01.403,Liviano,1
118,119,2025-12-10,07:59:01.403,Bus,0
119,120,2025-12-10,07:59:01.403,Camion,2
120,121,2025-12-10,07:59:25.675,Liviano,3
121,122,2025-12-10,07:59:25.675,Bus,0
122,123,2025-12-10,07:59:25.675,Camion,1
123,124,2025-12-10,07:59:30.904,Liviano,2
124,125,2025-12-10,07:59:30.904,Bus,1
125,126,2025-12-10,07:59:30.904,Camion,0
126,127,2025-12-10,08:06:54.219,Liviano,3
127,128,2025-12-10,08:06:54.219,Bus,0
128,129,2025-12-10,08:06:54.219,Camion,0
129,130,2025-12-10,08:06:59.392,Liviano,2
130,131,2025-12-10,08:06:59.392,Bus,1
131,132,2025-12-10,08:06:59.392,Camion,0
132,133,2025-12-10,08:08:55.854,Liviano,1
133,134,2025-12-10,08:08:55.854,Bus,0
134,135,2025-12-10,08:08:55.854,Camion,0
135,136,2025-12-10,08:09:01.290,Liviano,1
136,137,2025-12-10,08:09:01.290,Bus,0
137,138,2025-12-10,08:09:01.290,Camion,0
138,139,2025-12-10,08:09:06.486,Liviano,3
139,140,2025-12-10,08:09:06.486,Bus,1
140,141,2025-12-10,08:09:06.486,Camion,0
141,142,2025-12-10,08:09:11.745,Liviano,2
142,143,2025-12-10,08:09:11.745,Bus,0
143,144,2025-12-10,08:09:11.745,Camion,0
144,145,2025-12-10,08:09:16.818,Liviano,0
145,146,2025-12-10,08:09:16.818,Bus,0
146,147,2025-12-10,08:09:16.818,Camion,0
147,148,2025-12-10,08:09:22.734,Liviano,0
148,149,2025-12-10,08:09:22.734,Bus,0
149,150,2025-12-10,08:09:22.734,Camion,0
150,151,2025-12-10,08:09:28.281,Liviano,1
151,152,2025-12-10,08:09:28.281,Bus,0
152,153,2025-12-10,08:09:28.281,Camion,0
153,154,2025-12-15,10:29:42.472,Liviano,1
154,155,2025-12-15,10:29:42.472,Bus,0
155,156,2025-12-15,10:29:42.472,Camion,0
156,157,2025-12-15,10:29:47.533,Liviano,1
157,158,2025-12-15,10:29:47.533,Bus,0
158,159,2025-12-15,10:29:47.533,Camion,0
159,160,2025-12-15,10:29:52.680,Liviano,3
160,161,2025-12-15,10:29:52.680,Bus,1
161,162,2025-12-15,10:29:52.680,Camion,0
162,163,2025-12-15,10:29:58.212,Liviano,2
163,164,2025-12-15,10:29:58.212,Bus,0
164,165,2025-12-15,10:29:58.212,Camion,0
165,166,2025-12-15,10:30:03.453,Liviano,0
166,167,2025-12-15,10:30:03.453,Bus,0
167,168,2025-12-15,10:30:03.453,Camion,0
168,169,2025-12-15,10:30:09.064,Liviano,1
169,170,2025-12-15,10:30:09.064,Bus,0
170,171,2025-12-15,10:30:09.064,Camion,1
171,172,2025-12-15,10:30:14.111,Liviano,0
172,173,2025-12-15,10:30:14.111,Bus,0
173,174,2025-12-15,10:30:14.111,Camion,1
174,175,2025-12-15,10:30:19.541,Liviano,3
175,176,2025-12-15,10:30:19.541,Bus,0
176,177,2025-12-15,10:30:19.541,Camion,0
177,178,2025-12-15,10:30:24.771,Liviano,3
178,179,2025-12-15,10:30:24.771,Bus,0
179,180,2025-12-15,10:30:24.771,Camion,0
180,181,2025-12-15,10:30:30.090,Liviano,1
181,182,2025-12-15,10:30:30.090,Bus,0
182,183,2025-12-15,10:30:30.090,Camion,1
183,184,2025-12-15,10:50:09.274,Liviano,2
184,185,2025-12-15,10:50:14.436,Liviano,3
185,186,2025-12-15,10:50:14.436,Bus,1
186,187,2025-12-15,10:50:19.818,Liviano,2
187,188,2025-12-15,10:50:24.893,Liviano,1
188,189,2025-12-15,10:50:30.390,Camion,1
189,190,2026-01-05,07:50:59.956,Liviano,1
190,191,2026-01-05,07:51:05.535,Liviano,1
191,192,2026-01-05,07:51:11.213,Liviano,1
192,193,2026-01-05,07:56:38.543,Liviano,3
193,194,2026-01-05,07:56:38.543,Camion,2
194,195,2026-01-05,07:56:43.717,Liviano,1
195,196,2026-01-05,07:56:50.103,Bus,1
196,197,2026-01-05,07:56:58.787,Liviano,4
197,198,2026-01-05,07:57:05.683,Liviano,1
198,199,2026-01-06,07:58:26.864,Liviano,2
199,200,2026-01-06,07:58:26.864,Camion,2
200,201,2026-01-06,07:58:32.274,Liviano,2
201,202,2026-01-06,07:58:37.605,Liviano,3
202,203,2026-01-06,07:58:37.605,Bus,1
203,204,2026-01-06,07:58:43.015,Liviano,2
204,205,2026-01-06,07:58:53.334,Liviano,1
205,206,2026-01-06,07:58:58.819,Camion,2
206,207,2026-01-06,07:59:03.919,Liviano,2
207,208,2026-01-08,10:16:22.454,Liviano,3
208,209,2026-01-08,10:16:22.454,Camion,2
209,210,2026-01-08,10:16:34.642,Liviano,1
210,211,2026-01-08,10:33:56.031,Liviano,3
211,212,2026-01-08,10:33:56.031,Camion,2
212,213,2026-01-11,20:09:09.477,Liviano,3
213,214,2026-01-11,20:09:09.477,Camion,2
214,215,2026-01-11,20:09:14.586,Liviano,1
215,216,2026-01-11,20:15:36.092,Liviano,5
216,217,2026-01-11,20:15:41.501,Liviano,2
217,218,2026-01-11,20:15:51.980,Liviano,3
218,219,2026-01-11,20:17:49.866,Liviano,3
219,220,2026-01-11,20:17:49.866,Camion,2
220,221,2026-01-11,20:17:55.736,Liviano,1
221,222,2026-01-11,20:23:33.074,Liviano,3
222,223,2026-01-11,20:23:33.074,Camion,2
223,224,2026-01-11,20:23:38.178,Liviano,1
224,225,2026-01-11,20:23:38.178,Bus,1
225,226,2026-01-11,20:23:43.394,Liviano,5
226,227,2026-01-12,08:36:26.490,Liviano,3
227,228,2026-01-12,08:36:26.490,Camion,2
228,229,2026-01-12,08:36:32.092,Liviano,1
229,230,2026-01-12,08:36:37.418,Bus,1
230,231,2026-01-12,08:36:42.549,Liviano,4
231,232,2026-01-12,08:48:49.917,Liviano,3
232,233,2026-01-12,08:48:49.917,Camion,2
233,234,2026-01-12,09:39:16.755,Liviano,2
234,235,2026-01-12,09:39:16.755,Camion,2
235,236,2026-01-12,09:39:22.946,Liviano,1
236,237,2026-01-12,09:39:38.863,Liviano,1
237,238,2026-01-12,09:39:38.863,Bus,1
238,239,2026-01-12,09:40:53.407,Liviano,5
239,240,2026-01-12,09:41:06.292,Liviano,2
240,241,2026-01-12,09:48:44.959,Liviano,4
241,242,2026-01-13,09:20:52.644,Liviano,3
242,243,2026-01-13,09:20:52.644,Camion,2
243,244,2026-01-13,09:20:57.703,Liviano,1
244,245,2026-01-13,09:20:57.703,Bus,1
245,246,2026-01-14,11:25:36.695,Liviano,3
246,247,2026-01-14,11:25:36.695,Camion,2
247,248,2026-01-14,11:25:44.666,Liviano,2
248,249,2026-01-14,11:25:44.666,Bus,1
249,250,2026-01-15,08:28:31.800,Liviano,3
250,251,2026-01-15,08:28:37.295,Liviano,1
251,252,2026-01-15,08:28:57.872,Camion,1
252,253,2026-01-15,08:29:12.658,Camion,1
253,254,2026-01-15,08:53:20.619,Liviano,3
254,255,2026-01-15,08:53:20.619,Camion,5
255,256,2026-01-15,08:53:25.903,Liviano,3
256,257,2026-01-15,08:53:25.903,Camion,3
257,258,2026-01-15,08:53:42.743,Liviano,1
258,259,2026-01-15,08:53:54.881,Liviano,1
259,260,2026-01-15,08:57:12.464,Liviano,11
260,261,2026-01-15,08:57:17.716,Liviano,3
261,262,2026-01-15,08:57:35.393,Liviano,5
262,263,2026-01-15,08:57:45.627,Liviano,2
263,264,2026-01-15,08:57:56.470,Liviano,5
264,265,2026-01-15,08:57:56.470,Camion,3
